**Параметр**;**Тип данных**;**Диапазон значений**;**Описание**
name;string;;Наименование нагрузки
p_mw*;float;:math:`\geq 0`;активная мощность нагрузки [МВт]
q_mvar*;float;;реактивная мощность нагрузки [МВар]
const_z_percent*;float;:math:`[0,100]`;процентное соотношение p_mw и q_mvar, связанное с нагрузкой с постоянным сопротивлением при номинальном напряжении [:math:`\%`]
const_i_percent*;float;:math:`[0,100]`;процентное соотношение p_mw и q_mvar, связанное с нагрузкой постоянного тока при номинальном напряжении [:math:`\%`]
sn_mva;float;:math:`>0`;полная мощность нагрузки [кВА]
scaling *;float;:math:`\geq 0`;коэффициент масштабирования для активной и реактивной мощности
in_service*;boolean;True / False;указывает, находится ли нагрузка в эксплуатации.
controllable**;bool;;Указывает, является ли нагрузка управляемой или нет. Нагрузка не будет гибкой, если она не является управляемой.
max_p_mw**;float;;Максимум активной мощности
min_p_mw**;float;;Минимум активной мощности
max_q_mvar**;float;;Максимум реактивной мощности
min_q_mvar**;float;;Минимуи реактивной мощности
